Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,year
4137891.9645,579800.9195,4065912.358,2423259.858,31223058.6125,3548631.3705,3327869.97,697863.356,13874527.199000001,6938542.3745,1140573.373,1071343.9315,11654924.3635,5663640.691,2794305.932,2533752.8145,3759200.7595,4272225.3515,1246336.617,4945276.7885,6119030.954,9451904.9925,4522385.2785,2636669.2225,5238313.3085,821445.4185,1606842.467,1410409.635,1154170.9070000001,7919562.2135,1599194.445,18271779.075,6993079.0975,636770.324,10967793.2795,3216234.969,2984362.6135,11966649.1645,1019984.267,3625155.1765,708669.676,5074338.5545,18031806.223,1851599.6055,577733.434,6451279.5485,5155660.0635,1776971.4245,5011576.4665,457654.4225,1993
4177552.124,587873.8706666667,4211434.796,2454609.0893333335,31654530.72,3648361.169333333,3339647.8666666667,709388.072,14182204.868,7107453.090666667,1150656.8026666667,1098776.508,11753521.578666667,5715605.518666667,2807730.337333333,2554723.290666667,3793212.2306666668,4297203.514666666,1251281.4573333333,4997620.332,6153460.721333333,9519289.113333333,4576984.085333333,2663832.513333333,5285310.512,831332.192,1619528.264,1488732.7133333334,1167641.2706666666,7989246.312,1629634.62,18373636.86,7130536.92,636711.3146666667,11018841.377333334,3245476.5013333336,3041557.012,12004113.584,1024973.144,3675773.554666667,714222.7586666667,5153752.464,18407477.609333333,1900888.016,582647.0013333333,6539886.498666666,5258639.385333333,1776926.5106666666,5058492.454666667,460952.57333333336,1994
4219770.645833333,595261.9097222222,4361044.208333333,2488481.902777778,32063100.6875,3753135.0902777775,3350860.972222222,721273.25,14487659.166666666,7281791.326388889,1160574.763888889,1128412.4375,11859840.951388888,5771868.805555556,2823954.152777778,2576442.2430555555,3830627.076388889,4324593.368055556,1255784.9444444445,5049037.229166667,6187686.902777778,9590822.173611112,4633313.548611111,2692923.7569444445,5334618.354166667,842100.4375,1633385.9583333333,1570197.6944444445,1180434.138888889,8060736.895833333,1660835.5833333333,18477317.166666668,7274227.8125,636945.8055555555,11073261.881944444,3276848.736111111,3102086.4375,12045102.020833334,1029675.7083333334,3728283.326388889,720282.5138888889,5237996.270833333,18794490.111111112,1952639.6458333333,587462.4027777778,6628818.076388889,5363702.048611111,1779000.2847222222,5107717.451388889,465046.88194444444,1995
4263914.996,602107.996,4513604.484,2524241.164,32451889.36,3861484.404,3361712.44,733447.288,14790912.892,7460173.016,1170437.384,1159803.452,11971368.848,5831368.348,2842384.796,2598685.496,3870674.356,4353573.712,1259939.676,5099649.308,6221519.012,9664439.1,4690761.048,2723296.06,5385648.0879999995,853551.048,1648158.696,1654050.46,1192593.796,8133150.048,1692534.3,18581488.58,7423098.48,637464.632,11129831.636,3309922.632,3164997.748,12088990.176,1034075.536,3782479.032,726753.588,5325859.096,19191476.604000002,2006420.864,592144.2119999999,6718079.128,5470101.068,1782826.876,5158542.812,469832.24,1996
4309352.6405,608555.0888333333,4667979.512,2561249.7386666667,32824017.5825,3971940.3811666667,3372405.4233333333,745838.584,15091988.841,7641214.093833333,1180354.7903333334,1192501.2835,12085591.634833334,5893041.942333333,2862429.6846666667,2621228.873833333,3912583.1288333335,4383323.346833333,1263838.2496666666,5149578.3965,6254766.562666667,9738074.819166666,4748713.963166667,2754302.529166667,5437810.9665,865484.9165,1663589.623,1739536.8916666666,1204164.5263333335,8205601.8515,1724467.7349999999,18684819.685,7576095.6275,638258.6293333333,11187327.482166667,3344269.1476666667,3229337.8015,12135153.7505,1038156.203,3838155.211833333,733540.6273333334,5416130.0605,19597069.963666666,2061798.0395,596657.0026666666,6807674.499833333,5577089.458166666,1788040.4138333334,5210259.891833333,475203.5391666667,1997
4355451.045333333,614746.1475555556,4823033.181333333,2598870.4924444444,33182606.2,4083034.2924444443,3383143.0755555555,758375.536,15390909.810666667,7823530.494222222,1190437.1102222223,1226057.664,12199995.678222222,5955827.384888889,2883496.2364444444,2643848.200888889,3955582.4542222223,4413021.072888888,1267573.263111111,5198946.3226666665,6287239.068444445,9809664.257777778,4806559.673777778,2785296.271111111,5490518.242666666,877702.936,1679421.8853333334,1825902.871111111,1215190.6142222222,8277208.389333334,1756372.8533333333,18785979.066666666,7732165.96,639318.6328888889,11244526.26311111,3379459.2417777777,3294153.4560000002,12182968.445333334,1041901.2853333333,3895106.4062222224,740548.2782222222,5507598.285333334,20009903.06577778,2118337.5413333336,600965.3484444445,6897609.038222222,5683920.233777778,1794275.0275555556,5262160.046222222,481055.6711111111,1998
4401577.6765,620824.1315,4977629.381,2636466.291,33530776.0575,4193297.4085,3394128.55,770986.542,15687698.598,8005738.1515,1200794.471,1260024.3255,12312067.3445,6018662.472,2904991.869,2666319.3015,3998901.3915,4441845.6905,1271237.314,5247874.9145,6318746.043,9877142.3425,4863685.5594999995,2815630.3925,5543181.1695,890005.9995,1695398.629,1912394.2799999998,1225716.344,8347085.7445,1787986.62,18883635.31,7890256.1825,640635.478,11300204.8215,3415063.873,3358491.5695,12231809.9615,1045294.359,3953127.1555,747681.187,5599052.8915,20428608.786,2175605.7385,605033.823,6987887.5895,5789846.4095,1801164.8465,5313534.6305,487283.5275,1999
4447100,626932,5130632,2673400,33871648,4301261,3405565,783600,15982378,8186453,1211537,1293953,12419293,6080485,2926324,2688418,4041769,4468976,1274923,5296486,6349097,9938444,4919479,2844658,5595211,902195,1711263,1998257,1235786,8414350,1819046,18976457,8049313,642200,11353140,3450654,3421399,12281054,1048319,4012012,754844,5689283,20851820,2233169,608827,7078515,5894121,1808344,5363675,493782,2000
4491435.289,633201.838,5280973.8775,2709084.2505,34208031.2605,4405554.231,3417640.249,796148.125,16274953.9525,8364371.6245,1222770.751,1327430.47,12519317.6235,6140307.2325,2946946.1175,2709933.6345,4083477.691,4493657.7455,1278717.9385,5344883.023,6378101.9635,9991630.356,4973361.9475,2871778.738,5646056.7495,914086.2375,1726777.267,2082781.0635,1245439.1955,8478160.3225,1849305.8565,19063144.9615,8208357.2815,644006.174,11402182.634,3485840.564,3481991.585,12330120.3535,1050956.663,4071577.6595,761948.4045,5777165.9935,21278284.1775,2290627.9485,612311.3705,7169492.0975,5996039.867,1815484.054,5411918.201,500459.0795,2001
4534200.045333333,639722.2328888889,5427863.653333333,2743130.7351111113,34541488.624,4505197.839111111,3430480.800888889,808578.4,16565364.946666667,8538513.211555555,1234585.4835555556,1360183.72,12610420.643555555,6197439.302222222,2966495.991111111,2730709.598222222,4123573.2835555556,4515404.446222222,1282689.8257777777,5393095.890666666,6405572.999111111,10035267.332444444,5024894.644444444,2896578.401777778,5695318.482666667,925557.64,1741780.1893333334,2165433.1057777777,1254696.8595555555,8537848.213333333,1878592.6453333334,19142528.978666667,8366706.552,646060.5342222222,11446479.529777778,3520394.4364444446,3539661.08,12378605.181333333,1053180.3173333334,4131729.5715555553,768934.2515555555,5861932.301333333,21707207.164444443,2347720.2213333333,615461.0951111111,7260803.635555555,6095070.260444445,1822406.3208888888,5457784.043555556,507275.1537777778,2002
4575060.578,646570.8976666667,5570578.9175,2775200.9118333333,34873271.2635,4599310.455333333,3444197.8296666667,820842.125,16853532.6125,8707977.598166667,1247066.8836666667,1391974.785,12691040.101166667,6251265.809166667,2984657.4608333334,2750602.7981666666,4161664.9486666666,4533796.565166667,1286901.3778333333,5441136.126,6431322.6828333335,10068047.050333334,5073671.905833334,2918689.3243333334,5742634.0265,936502.5425,1756129.649,2245723.9128333335,1263575.2501666667,8592788.2575,1906750.7205,19213471.0755,8523752.5005,648372.7546666666,11485251.486333333,3554126.4713333333,3593868.22,12426148.7345,1054960.811,4192395.353166667,775748.4331666667,5942900.6145,22137909.400833335,2404217.7095,618252.2518333333,7352430.349166667,6190722.277333333,1828969.5496666667,5500838.028666667,514203.7098333333,2003
4613683.196,653825.5453333333,5708397.26,2804956.2386666667,35204630.352,4687010.710666667,3458902.5093333335,832890.6,17139378.58,8871864.621333333,1260300.6373333333,1422565.7,12759614.037333334,6301171.3533333335,3001114.3666666667,2769470.141333333,4197361.857333333,4548414.565333333,1291415.3106666666,5489015.252,6455163.590666667,10088661.630666666,5119288.546666667,2937743.8386666668,5787641.208,946814.28,1769683.528,2323164.270666667,1272090.6253333334,8642355.04,1933624.436,19274833.276,8678886.816,650952.5093333333,11517719.302666666,3586847.5226666667,3644073.74,12472391.264,1056268.992,4253502.621333334,782337.8413333333,6019389.624,22569711.326666668,2459892.304,620660.9186666666,7444352.973333334,6282506.014666666,1835032.4893333334,5540645.657333333,521218.23466666666,2004
4649734.208333333,661563.8888888889,5840596.270833334,2832058.173611111,35536817.0625,4767417.236111111,3474706.013888889,844675.125,17422824.479166668,9029274.118055556,1274372.4305555555,1451718.5,12814580.493055556,6346540.534722222,3015550.548611111,2787168.534722222,4230273.180555556,4558838.909722222,1296294.3402777778,5536744.791666667,6476908.298611111,10095803.194444444,5161339.381944444,2953374.277777778,5829977.854166667,956386.1875,1782299.7083333333,2397264.965277778,1280259.2430555555,8685923.145833334,1959058.1458333333,19325477.604166668,8831501.1875,653809.4722222222,11543103.777777778,3618368.4444444445,3689738.375,12516973.020833334,1057075.7083333333,4314978.993055556,788649.3680555555,6090718.020833333,23001933.381944444,2514515.8958333335,622663.1736111111,7536552.243055556,6369931.569444444,1840453.888888889,5576772.430555556,528292.2152777778,2005
4682879.924,669863.6413333333,5966453.54,2856168.174666667,35871082.568,4839648.662666666,3491719.5173333334,856147,17703791.94,9179305.925333334,1289367.9493333334,1479195.22,12854377.509333333,6386757.953333333,3027649.8466666667,2803554.885333333,4260008.089333333,4564650.061333333,1301601.1826666666,5584336.268,6496369.382666667,10088163.862666667,5199419.226666667,2965212.9746666667,5869281.792,965111.6,1793836.072,2467536.7826666664,1288097.3613333334,8722867.16,1982896.204,19364266.084,8980987.304,656953.3173333333,11560625.710666666,3648500.0906666666,3730322.86,12559534.256,1057351.808,4376752.085333333,794629.9053333333,6156204.496,23433896.006666668,2567860.376,624235.0946666667,7629008.893333334,6452509.0386666665,1845092.4973333334,5608783.849333333,535399.1386666667,2006
4712786.652,678802.5156666667,6085246.6575,2876947.6998333335,36208678.0415,4902823.621333333,3510054.1936666667,867257.525,17982202.5925,9321059.880166667,1305372.8796666667,1504757.895,12877443.127166666,6421208.2091666665,3037096.1008333336,2818486.100166667,4286175.7546666665,4565428.483166667,1307398.5538333333,5631801.204,6513359.418833333,10064435.756333333,5233122.895833333,2972892.2623333335,5905190.8485,972883.8525,1804150.501,2533490.5088333334,1295621.2381666666,8752561.6675,2004982.9645,19390060.7395,9126736.8545,660393.7186666667,11569505.900333334,3677053.3153333333,3765287.93,12599715.2205,1057068.139,4438749.515166666,800226.3451666667,6215167.7405,23864919.640833333,2619697.6355,625352.7598333333,7721703.659166667,6529748.519333333,1848807.0636666666,5636245.414666667,542512.4918333334,2007
4739120.701333333,688458.2248888889,6196253.213333333,2894058.207111111,36550854.656,4956060.743111111,3529821.2168888887,877958,18257978.066666666,9453635.819555555,1322472.9075555555,1528168.56,12882215.387555556,6449275.902222222,3043573.151111111,2831819.086222222,4308385.347555555,4560754.638222222,1313749.1697777777,5679151.122666666,6527690.983111111,10023310.996444445,5262045.204444445,2976044.473777778,5937342.850666666,979596.28,1813100.8773333333,2594636.9297777778,1302847.1315555556,8774381.253333334,2025162.7813333333,19401723.594666667,9268141.528,664140.3502222223,11568965.145777777,3703838.9724444444,3794094.32,12637156.165333332,1056195.5493333333,4500898.899555556,805385.5795555556,6266926.445333334,24294324.724444445,2669799.5653333333,625992.2471111111,7814617.275555556,6601160.108444445,1851456.3368888889,5658722.627555556,549605.7617777778,2008
4761548.381,698908.482,6298750.7975,2907161.1545,36898863.5845,4998478.659,3551131.761,888199.725,18531039.9925,9576133.5805,1340753.719,1549189.25,12867132.3315,6470345.6325,3046764.8375,2843410.7505,4326246.039,4550208.9895,1320715.7465,5726397.547,6539176.6515,9963481.704,5285780.9675,2974301.942,5965375.6255,985142.2175,1820545.083,2650486.8315,1309791.2995,8787700.5025,2043280.0085,19398116.6735,9404593.0135,668202.8859999999,11558224.246,3728667.916,3816202.765,12671497.3415,1054704.887,4563127.8555,810054.5005,6310799.3015,24721431.697499998,2717938.0565,626129.6345,7907730.4775,6666253.903,1852899.066,5675780.989,556652.4355,2009
4779736,710231,6392017,2915918,37253956,5029196,3574097,897934,18801310,9687653,1360301,1567582,12830632,6483802,3046355,2853118,4339367,4533372,1328361,5773552,6547629,9883640,5303925,2967297,5988927,989415,1826341,2700551,1316470,8791894,2059179,19378102,9535483,672591,11536504,3751351,3831074,12702379,1052567,4625364,814180,6346105,25145561,2763885,625741,8001024,6724540,1852994,5686986,563626,2010
4793349.867333333,722503.4918888889,6475329.410833334,2919990.201611111,37617383.0755,5047331.397111111,3598828.107888889,907112.125,19068709.719166666,9787293.915055556,1381200.4365555556,1583108.845,12771152.434055556,6489029.604722222,3042027.478611111,2860797.7417222224,4347357.401555556,4509824.132722222,1336747.6462777779,5820626.0046666665,6552860.604611111,9782478.005444445,5316072.116944444,2954661.9807777777,6007634.801166667,992307.9625,1830346.5103333334,2744340.2212777776,1322899.4910555556,8786336.330833333,2072704.1098333334,19340541.598166667,9660203.1765,677314.3662222222,11503025.206777778,3771699.0784444446,3838168.76,12729441.391833333,1049752.7363333334,4687534.950055555,817708.9700555556,6372162.231833333,25566033.071944445,2807412.2868333333,624802.4216111111,8094478.578055556,6775528.496444444,1851599.8878888888,5691903.161555556,570499.9422777778,2011
4802056.292,735803.6706666667,6547965.62,2919039.217333333,37990395.984,5052003.481333333,3625436.2586666667,915685.4,19333160.78,9874156.162666667,1403537.7146666667,1595531.82,12687131.674666667,6485413.046666667,3033466.1133333333,2866306.8826666665,4349826.414666667,4479145.850666666,1345938.4013333332,5867631.084,6554684.041333334,9658687.841333333,5321817.133333334,2936029.217333333,6021136.856,993714.44,1832419.496,2781365.2813333333,1329096.0306666666,8770402.08,2083699.692,19284297.492,9778145.232,682382.6586666667,11457008.665333332,3789523.0053333333,3836947.78,12752324.768,1046232.944,4749568.3226666665,820588.3026666667,6388289.688,25982168.35333333,2848291.808,623289.9773333333,8188074.946666666,6818729.489333333,1848575.4786666667,5690097.974666666,577247.7493333333,2012
4805521.583,750209.2493333333,6609203.2175,2912726.5051666666,38374245.8985,5042330.883666666,3654032.6263333336,923605.125,19594584.8125,9947339.579833332,1427398.5203333334,1604612.96,12577007.762833333,6472336.925833333,3020354.7441666666,2869502.3298333334,4346383.210333333,4440917.616833333,1355995.9811666666,5914578.761,6552911.886166667,9510961.628666667,5320754.864166667,2911031.0426666667,6029070.9915,993527.7675,1832417.839,2811136.9661666667,1335075.8768333334,8743465.8325,2092010.1005,19208231.7055,9888700.8555,687805.5513333334,11397675.174666667,3804633.634666667,3826871.795,12770669.3795,1041978.471,4811391.734833334,822764.8898333333,6393806.0595,26393287.284166668,2886295.4545,621179.7451666667,8281793.840833333,6853653.075666667,1843779.5213333333,5681135.940333334,583842.9081666666,2013
4803412.049333333,765797.9408888889,6658319.793333333,2900713.523111111,38770183.992,5017432.235111111,3684728.384888889,930822.6,19852903.446666665,10005944.003555555,1452868.5395555557,1610114.3,12439218.739555556,6449185.842222222,3002377.211111111,2870240.990222222,4336636.959555555,4394719.894222222,1366983.1017777778,5961480.558666667,6547356.715111111,9337991.488444444,5312480.124444445,2879299.7897777776,6031075.034666667,991641.28,1830199.4213333332,2833166.061777778,1340855.2875555556,8704902.173333334,2097479.689333333,19111206.262666665,9991261.736,693592.7182222222,11324245.533777777,3816841.8204444447,3807401.54,12784115.477333333,1036960.1653333333,4872932.803555556,824185.6235555556,6388030.037333333,26798710.304444443,2921195.1173333335,618447.8031111112,8375615.995555555,6879809.352444445,1837070.764888889,5664582.559555556,590258.9057777778,2014
4795394,782647.4583333334,6694592.9375,2882661.7291666665,39179461.4375,4976426.166666667,3717634.7083333335,937289.125,20108038.3125,10049069.270833334,1480033.4583333333,1611797.875,12272202.645833334,6415344.395833333,2979217.3541666665,2868379.7708333335,4320196.833333333,4340133.145833333,1378962.4791666667,6008348,6537831.104166667,9138469.541666666,5296587.729166667,2840467.7916666665,6026786.8125,987948.3125,1825622.125,2846963.3541666665,1346450.5208333333,8654085.6875,2099952.8125,18992083.1875,10085219.5625,699753.8333333334,11235940.541666666,3825958.4166666665,3777997.75,12792303.3125,1031148.875,4934119.145833333,824797.3958333334,6370280.3125,27197757.854166668,2952762.6875,615070.2291666666,8469522.145833334,6896708.416666667,1828307.9583333333,5640003.333333333,596469.2291666666,2015
4781133.744,800835.5146666666,6717300.24,2858232.581333333,39603329.408,4918431.309333333,3752862.770666667,942956,20359911.04,10075815.218666667,1508978.9626666666,1609425.72,12074397.522666667,6370197.1866666665,2950559.013333333,2863775.5786666665,4296672.002666667,4276737.834666667,1391996.8293333333,6055192.608,6524147.629333333,8911087.909333333,5272672.493333333,2794167.3813333334,6015844.152,982342.2,1818543.832,2852039.629333333,1351877.8346666666,8590390.96,2099273.824,18849724.504,10169966.024,706298.5706666666,11131980.997333333,3831794.277333333,3738121.16,12794873.136,1024515.448,4994878.378666666,824547.0986666667,6339875.576,27589750.373333335,2980770.056,611023.1013333333,8563493.026666667,6903860.365333334,1817349.8506666666,5606963.762666667,602447.3653333334,2016
